ClockTicks,UTC-ISO8601,Date,local Time,Pressure
1569172920000,2019-09-22T17:22:00Z,9/22/2019,7:22:00 PM,1018.4
1569172980000,2019-09-22T17:23:00Z,9/22/2019,7:23:00 PM,1018.3
1569173100000,2019-09-22T17:25:00Z,9/22/2019,7:25:00 PM,1018.3
1569173160000,2019-09-22T17:26:00Z,9/22/2019,7:26:00 PM,1018.3
1569173220000,2019-09-22T17:27:00Z,9/22/2019,7:27:00 PM,1018.3
1569173280000,2019-09-22T17:28:00Z,9/22/2019,7:28:00 PM,1018.3
1569173340000,2019-09-22T17:29:00Z,9/22/2019,7:29:00 PM,1018.3
1569173460000,2019-09-22T17:31:00Z,9/22/2019,7:31:00 PM,1018.3
1569173580000,2019-09-22T17:33:00Z,9/22/2019,7:33:00 PM,1018.3
1569173700000,2019-09-22T17:35:00Z,9/22/2019,7:35:00 PM,1018.3
1569173760000,2019-09-22T17:36:00Z,9/22/2019,7:36:00 PM,1018.3
1569173820000,2019-09-22T17:37:00Z,9/22/2019,7:37:00 PM,1018.3
1569173940000,2019-09-22T17:39:00Z,9/22/2019,7:39:00 PM,1018.4
1569174000000,2019-09-22T17:40:00Z,9/22/2019,7:40:00 PM,1018.4
1569174060000,2019-09-22T17:41:00Z,9/22/2019,7:41:00 PM,1018.4
1569174120000,2019-09-22T17:42:00Z,9/22/2019,7:42:00 PM,1018.4
1569174180000,2019-09-22T17:43:00Z,9/22/2019,7:43:00 PM,1018.4
1569174240000,2019-09-22T17:44:00Z,9/22/2019,7:44:00 PM,1018.4
1569174300000,2019-09-22T17:45:00Z,9/22/2019,7:45:00 PM,1018.4
1569174360000,2019-09-22T17:46:00Z,9/22/2019,7:46:00 PM,1018.4
1569174420000,2019-09-22T17:47:00Z,9/22/2019,7:47:00 PM,1018.4
1569174480000,2019-09-22T17:48:00Z,9/22/2019,7:48:00 PM,1018.4
1569174540000,2019-09-22T17:49:00Z,9/22/2019,7:49:00 PM,1018.2
1569174600000,2019-09-22T17:50:00Z,9/22/2019,7:50:00 PM,1018.3
1569174660000,2019-09-22T17:51:00Z,9/22/2019,7:51:00 PM,1018.3
1569174720000,2019-09-22T17:52:00Z,9/22/2019,7:52:00 PM,1018.3
1569174840000,2019-09-22T17:54:00Z,9/22/2019,7:54:00 PM,1018.2
1569174900000,2019-09-22T17:55:00Z,9/22/2019,7:55:00 PM,1018.3
1569174960000,2019-09-22T17:56:00Z,9/22/2019,7:56:00 PM,1018.3
1569175020000,2019-09-22T17:57:00Z,9/22/2019,7:57:00 PM,1018.3
1569175080000,2019-09-22T17:58:00Z,9/22/2019,7:58:00 PM,1018.3
1569175140000,2019-09-22T17:59:00Z,9/22/2019,7:59:00 PM,1018.3
1569175260000,2019-09-22T18:01:00Z,9/22/2019,8:01:00 PM,1018.3
